county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_college_plus,pct_foreign,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active,median_fam_income,mean_fam_income
"Douglas County, Colorado",0,8037,328614,6.1,7.6,13.7,47259,3.18,2670,4899,7569,16.01599695,98,57.9,7.3,92,2,8.5,6.1,3.7,430,0.001308526,129717,157187
"Eagle County, Colorado",0,8039,54357,5.8,7,12.8,5318,3.29,336,679,1015,19.0861226,89.3,48.1,18.3,90.4,1.5,29.7,1.7,8.3,528,0.00971356,94003,122721
"Elbert County, Colorado",0,8041,25162,4.3,6.2,10.5,2330,3.1,187,153,340,14.59227468,96.7,35.9,2.6,96.5,1.8,6.7,1.7,4.9,811,0.032231142,109439,131926
"El Paso County, Colorado",0,8043,688153,6.8,6.7,13.5,80716,3.17,6552,15876,22428,27.7863125,93.7,37.9,6.9,84.8,8.6,16.8,4.6,14.5,26,3.77823E-05,78239,98037
"Fremont County, Colorado",0,8045,47002,4,4.7,8.7,3576,2.55,445,807,1252,35.01118568,90.3,18.2,2.9,91.9,5,13.2,1.3,21.4,22,0.000468065,58259,73421
"Garfield County, Colorado",0,8047,58538,6.9,8.5,15.4,6699,3.18,336,1186,1522,22.71980893,87.8,30,14.9,89.1,1.1,28.2,1.1,9.2,86,0.001469131,84486,97801
"Gilpin County, Colorado",0,8049,5924,4.2,4.3,8.5,366,2.68,35,16,51,13.93442623,97.6,38.7,2.9,95.7,0.7,9.3,0,6.4,1,0.000168805,90424,123003
"Grand County, Colorado",0,8051,15066,3.7,4.3,8,1026,2.99,78,231,309,30.11695906,95.5,37.8,8,95.7,1.6,8.4,1.1,14.8,5,0.000331873,75399,91613
"Gunnison County, Colorado",0,8053,16537,4.5,5,9.5,1515,2.86,136,375,511,33.72937294,97.2,55.3,4.4,97.2,1.5,9.3,1.5,5.6,154,0.009312451,77091,90254
"Hinsdale County, Colorado",0,8055,878,4.3,2.1,6.4,53,2.67,8,4,12,22.64150943,93.8,43.9,1.4,96.1,0.5,5.8,1.4,23.7,3,0.003416856,64196,91967
"Huerfano County, Colorado",0,8057,6583,2.5,5.7,8.2,486,2.54,33,181,214,44.03292181,91.5,21.4,2.8,95.8,0.6,34.5,1,25.1,2,0.000303813,52097,60777
