county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_college_plus,pct_foreign,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active,median_fam_income,mean_fam_income,,,,,
"Steuben County, Indiana",0,18151,34474,5.581017578,5.592620526,11.1736381,9512,2.77,667,1197,1864,19.59629941,38.3,13.2,2.4,98.9,0.4,3.5,0.9,18.9,24,0.069617683,67799,79560,,,0.016189063,0.01622272,
"Sullivan County, Indiana",0,18153,20792,5.050019238,5.530973451,10.58099269,5237,2.93,580,761,1341,25.60626313,44.7,6.8,0.8,95.1,4.9,1.7,0.7,14.5,16,0.076952674,59699,71949,,,0.02428828,0.02660145,
"Switzerland County, Indiana",0,18155,10628,6.238238615,8.035378246,14.27361686,2962,2.91,278,393,671,22.65361242,48.6,7.4,2,97.7,1.2,2,0.9,29.5,15,0.14113662,54455,66511,,,0.058696261,0.075605742,
"Tippecanoe County, Indiana",0,18157,189294,5.989096326,5.723372109,11.71246844,38701,3.12,2846,6902,9748,25.18797964,25,21.1,11.5,84.4,6.2,8.2,9,18,113,0.0596955,71630,89588,,,0.003163912,0.003023536,
"Tipton County, Indiana",0,18159,15218,4.902089631,6.144039953,11.04612958,4239,2.89,249,523,772,18.21184242,41.1,15.5,1.4,97.9,0.5,2.7,0.8,12.5,19,0.124852149,70216,83926,,,0.032212443,0.040373505,
"Union County, Indiana",0,18161,7153,5.927582832,6.011463722,11.93904655,1822,3.01,132,225,357,19.59385291,48,11,1.4,98.9,0.1,1.8,2,8.1,7,0.097861037,57656,68675,,,0.082868486,0.084041154,
"Vanderburgh County, Indiana",0,18163,181313,6.108773226,6.392812429,12.50158566,44263,2.98,3023,9511,12534,28.31710458,32.5,17.1,2.8,87.9,11.1,2.6,1.7,25.7,142,0.078317605,64325,83757,,,0.003369187,0.003525843,
"Vermillion County, Indiana",0,18165,15560,5.29562982,5.604113111,10.89974293,4299,2.84,305,815,1120,26.05257037,44.2,9.2,0.9,97.5,1.5,0.4,0.6,22.8,7,0.044987147,57543,69692,,,0.034033611,0.036016151,
"Vigo County, Indiana",0,18167,107693,5.840676739,5.632678076,11.47335481,24940,2.97,2039,5489,7528,30.18444266,32.2,14.7,3.3,90.2,8.6,2.6,2.4,22.5,58,0.053856797,57518,73402,,,0.005423451,0.00523031,
"Wabash County, Indiana",0,18169,31631,5.134203787,5.576807562,10.71101135,8507,2.82,482,1311,1793,21.07676032,42.5,10.6,1.5,97,1.2,2.5,0.6,19.6,50,0.158072777,60896,70434,,,0.016231557,0.017630829,
"Warren County, Indiana",0,18171,8247,5.56566024,6.196192555,11.76185279,2507,2.72,223,292,515,20.54248105,43.2,12.8,0.5,99,1.1,1.7,0.3,17.1,10,0.121256214,70924,79673,,,0.067487089,0.075132685,
"Warrick County, Indiana",0,18173,61928,5.572600439,7.542630151,13.11523059,17654,2.93,972,1931,2903,16.44386541,31.4,18.7,3.5,94.8,2.2,1.8,2.9,8.9,79,0.127567498,85536,105974,,,0.008998515,0.012179677,
"Washington County, Indiana",0,18175,27827,5.713875013,5.713875013,11.42775003,7787,3.03,502,1262,1764,22.65313985,43.6,8.4,0.6,99.2,0.7,1.3,0.5,17.4,44,0.158119812,58512,69164,,,0.020533565,0.020533565,
"Wayne County, Indiana",0,18177,66613,5.788659871,5.832194917,11.62085479,17375,2.93,1321,3925,5246,30.19280576,38,10.6,2.4,92.7,6.9,2.9,1.3,24.5,32,0.048038671,56269,74813,,,0.008689985,0.00875534,
"Wells County, Indiana",0,18179,27947,6.562421727,7.142090385,13.70451211,7614,3.06,262,1003,1265,16.61413186,40,12.4,1.5,97.5,1.2,2.9,0.8,12.7,5,0.017891008,70749,81049,,,0.023481668,0.025555839,
"White County, Indiana",0,18181,24217,6.189866623,6.706032952,12.89589957,6836,2.9,577,980,1557,22.77647747,41.4,10.9,4.4,93.3,0.9,8.1,0.6,11.7,51,0.210595862,64633,76685,,,0.025560006,0.027691427,
